model,model_commit_id
John6666/smooth-mix-noobai-illustrious-pony-illustrious2-noobai-v2-sdxl,ae5fafb5a7a26a962b5adcd3693dbb53b8a15ed5
John6666/stellaratormix-photorealism-v30-sdxl,ffeca136d2ef8b5cbd560ed49959d8b589c0e1a4
John6666/wai-nsfw-illustrious-sdxl-v140-sdxl,d4fc2568d821cfef4c3599abe824583f8bb37366
stablediffusionapi/dreamshaper-xl-turbo-v2.1,5c56b21f36e1c6a26533b4c56490142262cc96f4
John6666/alcai-anime-haven-awakening-v20-sdxl,8f027298b618bed31eb78868cdd389822b2be881
John6666/one-obsession-10nowillustrious20-sdxl,9898268ab2b55e13992f4ea456acc6573bf6c3c7
John6666/porn-works-real-porn-photo-realistic-nsfw-sdxl-pony-illustrious-chekpoint-illustrious-sdxl,f0d7a876b6101952014d90a84ff2ae915e60b551
John6666/willys-noob-realism-v-pred-alpha-sdxl,eacfbc742ee8398bce2eb5d4eda5a89af5f5c9d0
John6666/moe-is-all-you-need-noobai-illustrious-vpred-v2-sdxl,0bf0d2cf235db931581a17c4c9f8b08ac8df6f22
John6666/big-love-photo1-sdxl,20cd069e123da6959381e9ce9e905907772fc824
johass/sdxl-hyper-sd-4steps,0ead2aac0814b4681694819c260f3ad51ff53aba
John6666/spicy-realism-nsfwmix-v20-sdxl,620a37f41b2fdc9f4f642663d9f0aa77c068f104
Raelina/Raehoshi-illust-XL-6,3bce1edfe8696cd73e14a3922d2915b376a99867
Yntec/a-ZovyaRPGV4,daa67aa244ad0cefcc9df899053cfcba26235a51
muverqqw/DreamCoil-V0.1,d592601ca61e205f065b2fc232e32572ebdd86b6
John6666/rillusm-realistic-il-v21-sdxl,dedfd1c11f7934b914d04f96a7be3ad0da3b0f75
John6666/pony-realism-cute-v10-sdxl,c6205c6aa9a0dd690731618e88698b725dee8093
John6666/zero-nans-v10-sdxl,9eb60594ce9fc634417aba70a10482a298877d6c
votepurchase/hassakuXLIllustrious_v22,264a3516ac13b2a95edde2efc055ad35c2ac0e01
John6666/fiamix-illustrious-xl-v200-sdxl,22850d0d20e4eb4bf4e777cacadabdaec350c676
John6666/unholy-desire-mix-sinister-aesthetic-illustrious-v50-sdxl,1472de78ef2a490607f73ccc3e94b3c6d4373b8a
John6666/unstable-illusion-sdxxxl-sdxxxl-v2-sdxl,6056637ff3e90da731cc33d1b0f5f29c77bd3696
John6666/big-love-xl4-sdxl,d505a33e3c13663ff5a03fd3e1bc2c62e6cdcae4
John6666/lustify-sdxl-nsfw-checkpoint-ggwp-v7-sdxl,197f8ac519ef7d9405fc70e6882f73f9aa602239
tensorart/bokeh_3.5_medium,8ee2eb772d09b0940a1f451efe62bafb6adabc62
Arrexel/pattern-diffusion,89dbf0d25ec8621d880bfa07edf8275cb1e176d6
John6666/wai-nsfw-nova-furry-illustrious-v30-sdxl,d99fe15ba9eedcba0d96331e9d34b5aaefb5d018
John6666/fabled-infusion-illustrious-xl-hybrid-sfw-nsfw-v1-beyond-the-valley-sdxl,ba44c6d3863153b12f6d3a358f044769787e9590
John6666/realism-illustrious-by-stable-yogi-v50-fp16-sdxl,24ea6f11bcbfc6fa62ec62a87dde88abfb044263
KBlueLeaf/Kohaku-XL-Zeta,c14affd9483ac7603cfff3f06b05da22a06deaa6
John6666/wai-ani-nsfw-ponyxl-v140-sdxl,84a6c9b20b451d52fc9addcc343a8d4f80cae511
John6666/cyberillustrious-cyberrealistic-v60-alternative-sdxl,6b6cead4eb04bb53d17f010c0277f4634c89cdf9
John6666/bismuth-illustrious-mix-v40-sdxl,066c69405afd0249d92963355ef374c2a34a80c8
John6666/realism-illustrious-by-stable-yogi-v45-bf16-sdxl,c721b4976e673ee38ffc102f182f5a35464655ca
Yntec/Cheesecake,0b075a2ed09d139c687b4faf6323974cf6e6a567
stablediffusionapi/rev-animated,d4cb3fb6841e07adb2892c3d8a2df94c0012e0d8
John6666/alcai-anime-haven-awakening-v30-sdxl,a934d87eb00fbc51f7494949eb2c8d2539409be1
John6666/alephzero-neurolingiust-sdxl,360566a89c7741fab9c7b86f68a0cdf16bc83412
PierrunoYT/FLUX.1-Krea-dev,5a2733b9934cc22283cd34ff8b31156d66ee4ae6
muverqqw/Dreamcoil-lightning,abade9ef7fd7b29aaf56ed504478bfd72a32f75a
John6666/cute-wonder-v10-sdxl,58ae88b734fbc74640ec67be9b19faa07d1aae22
John6666/zero-nans-v3-sdxl,72618d684618d0988f4c5f4e829ce95243e36042
John6666/nova-cartoon-xl-v50-sdxl,832b081c4f812f9287166d5cc1445eb866ddd104
John6666/cyberrealistic-xl-v60-sdxl,728f108771d8caf36a230207eb1276301de5a662
